symbol,company,Business Content
A,Agilent Technologies,環境、食品の品質・安全性等の化学分析を行うツールを開発、提供
AA,Alcoa,アルミ原料を掘削する鉱山事業及び精練事業に従事
AACI,Armada Acquisition Corp1,ブランクチェックカンパニー。
AADI,Aadi Biosciences Inc,バイオ医薬品関連企業。
AAGR,African Agriculture Holdings Inc,アフリカの食糧安全保障に特化した会社。アルファルファ農場を運営。
AAL,American Airlines Group,米国の航空会社
AAME,Atlantic American Corporation,保険商品を提供する会社。
AAN,Aaron's Company,購入選択権付きリース事業を展開する会社。
AAOI,Applied Optoelectronics,通信機器や光ファイバーなどの光通信製品を設計、製造する半導体会社。
AAON,AAON,業務用屋上型エアコン、暖房・熱回収設備、エアコン用コイルの設計、製造、販売を手掛ける空調設備機器メーカー。
AAP,Advance Auto Parts,自動車用品の小売りチェーン
AAPL,Apple,パソコン、コミュニケーション機器等の製造販売
ABBV,AbbVie,免疫や肝炎向けなどの薬品を開発・販売する製薬会社
ABCB,Ameris Bancorp,銀行子会社Ameris Bank（同行）を通じてバンキングサービスを小売と商業顧客へ提供している。
ABCL,AbCellera Biologics Inc,抗体ベースでの医薬品開発に従事する、カナダのバイオテクノロジー企業
ABEO,Abeona Therapeutics,臨床試験段階の医薬品を開発するバイオ医薬品メーカー。
ABG,Asbury Automotive Group,自動車販売会社
ABIO,ARCA biopharma Inc,心血管疾患の遺伝子標的療法の開発を行っている米国のバイオ医薬品企業
ABL,Abacus Life Inc,生命保険商品に特化した資産運用会社
ABM,ABM Industries,北米各地の都市で商工業・諸機関の顧客から空調、エンジニアリング施設サービス請負会社。
ABNB,Airbnb Inc ,民泊仲介大手サイト運営会社
ABOS,Acumen Pharmaceuticals Inc,臨床段階にあるバイオ医薬品会社として運営。アルツハイマー病の原因となる病気を治療するための新しいアプローチを開発。
ABSI,Absci Corp,米国のバイオテクノロジー企業。
ABT,Abbott Laboratories,ヘルスケア製品のメーカー
ABTS,Abits Group Inc,ソーシャルメディア・アプリ開発会社
ABUS,Arbutus Biopharma Corporation ,バイオ製薬会社
ABVC,ABVC BioPharma Inc,ADHD等の治療薬を開発する製薬会社。
ACA,Arcosa,貨物鉄道車両および鉄道車両リース・サービスの製造事業で構成されている、インフラ構築サービスを提供する会社。
ACAB,Atlantic Coastal Acquisition Corp2 A,ブランクチェックカンパニー。
ACAD,ACADIA Pharmaceuticals,中枢神経障害に対する小分子薬剤の発見、開発、販売に注力するバイオ医薬品会社。
